ano,mes,dia,hora,brilho,tensao
2025,11,15,20:39:39,22.37,1.63
2025,11,15,20:39:40,48.16,3.22
2025,11,15,20:39:41,63.12,1.59
2025,11,15,20:39:42,54.47,4.2
2025,11,15,20:39:43,48.79,3.98
2025,11,15,20:39:44,36.42,0.6
2025,11,15,20:39:45,45.73,4.89
2025,11,15,20:39:46,34.72,2.89
2025,11,15,20:39:47,76.82,2.64
2025,11,15,20:39:48,65.99,1.66
2025,11,15,20:39:49,92.15,4.7
2025,11,15,20:39:51,2.33,0.69
2025,11,15,20:39:52,58.96,4.87
2025,11,15,20:39:53,87.36,3.35
2025,11,15,20:39:54,61.19,2.81
2025,11,15,20:54:42,5.64,0.15
2025,11,15,20:54:43,12.96,3.27
2025,11,15,20:54:44,90.24,0.91
2025,11,15,20:54:45,98.25,3.13
2025,11,15,20:54:46,42.36,4.25
2025,11,15,20:54:47,87.82,3.44
2025,11,15,20:54:48,38.37,2.92
2025,11,15,20:54:49,47.87,1.76
2025,11,15,20:54:50,11.42,4.62
2025,11,15,20:56:11,78.67,3.22
2025,11,15,20:56:13,95.29,0.86
2025,11,15,20:56:14,77.83,1.66
2025,11,15,20:56:15,20.67,1.64
2025,11,15,20:56:16,88.6,4.06
2025,11,15,20:56:17,11.52,2.34
2025,11,15,20:56:18,51.71,2.07
2025,11,15,20:56:19,79.57,0.18
2025,11,15,20:56:20,50.27,0.25
2025,11,15,20:56:21,80.99,0.35
2025,11,15,20:56:22,71.67,2.89
2025,11,15,20:56:23,9.62,3.75
2025,11,15,20:56:24,50.66,0.59
2025,11,15,20:56:25,81.12,0.31
2025,11,15,20:56:27,47.16,1.08
2025,11,15,20:56:28,7.51,3.85
2025,11,15,20:56:29,16.48,1.63
2025,11,15,20:56:30,9.71,1.35
2025,11,15,20:56:31,47.01,0.63
2025,11,15,20:56:32,49.5,0.39
2025,11,15,20:56:33,86.68,2.08
2025,11,15,20:56:34,76.47,0.95
2025,11,15,20:56:35,92.45,4.34
2025,11,15,20:56:36,29.84,4.7
2025,11,15,20:56:37,7.94,4.97
2025,11,15,20:56:38,49.76,3.49
2025,11,15,20:56:40,34.92,3.91
2025,11,15,20:56:41,39.75,1.21
2025,11,15,20:56:42,75.39,0.71
2025,11,15,20:56:43,27.08,2.44
2025,11,15,21:04:36,13.39,4.1
2025,11,15,21:04:37,35.03,0.19
2025,11,15,21:04:38,8.66,2.6
2025,11,15,21:04:39,5.1,2.38
2025,11,15,21:04:40,2.13,1.06
2025,11,15,21:04:41,93.68,2.0
2025,11,15,21:04:42,60.69,1.37
2025,11,15,21:04:44,24.39,2.34
2025,11,15,21:05:23,72.65,4.53
2025,11,15,21:05:24,4.81,3.06
2025,11,15,21:05:25,26.9,4.26
2025,11,15,21:05:27,69.03,3.0
2025,11,15,21:05:28,74.64,1.88
2025,11,15,21:05:29,37.27,2.45
2025,11,15,21:05:30,98.72,3.88
2025,11,15,21:05:31,26.63,0.26
2025,11,15,21:05:32,31.6,3.15
2025,11,15,21:05:33,28.97,2.78
2025,11,15,21:05:38,50.72,4.44
2025,11,15,21:05:39,18.16,3.83
2025,11,15,21:05:40,56.18,2.86
2025,11,15,21:05:57,12.4,3.14
2025,11,15,21:05:58,71.07,3.42
2025,11,15,21:05:59,39.45,4.21
2025,11,15,21:06:00,76.95,4.36
2025,11,15,21:06:01,96.71,1.92
2025,11,15,21:06:03,79.35,1.8
2025,11,15,21:06:04,85.18,2.03
2025,11,15,21:06:05,37.69,3.48
2025,11,15,21:06:06,34.86,4.77
2025,11,15,21:06:07,28.95,2.52
2025,11,15,21:06:08,15.62,4.84
2025,11,15,21:06:09,25.1,3.92
2025,11,15,21:06:10,6.73,0.69
2025,11,15,21:06:11,10.03,2.31
2025,11,15,21:06:12,59.8,4.02
2025,11,15,21:06:13,99.01,4.69
2025,11,15,21:06:14,37.85,4.12
2025,11,15,21:06:15,49.87,3.58
2025,11,15,21:06:16,97.02,3.62
2025,11,15,21:06:17,46.64,3.44
2025,11,15,21:06:19,0.46,0.82
2025,11,15,21:06:20,74.78,0.34
2025,11,15,21:06:21,81.08,1.02
2025,11,15,21:06:22,77.08,1.0
2025,11,15,21:06:23,37.51,3.34
2025,11,15,21:06:24,48.86,2.91
2025,11,15,21:06:25,25.07,2.47
2025,11,15,21:06:26,15.68,3.02
2025,11,15,21:06:27,45.48,0.76
2025,11,15,21:06:28,52.66,1.39
2025,11,15,21:06:29,21.2,1.58
2025,11,15,21:06:30,7.49,1.69
2025,11,15,21:06:31,13.24,0.12
2025,11,15,21:06:32,22.61,1.03
2025,11,15,21:06:33,55.59,0.79
2025,11,15,21:06:35,68.37,4.06
2025,11,15,21:06:36,52.62,3.23
